epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1587.71,0.99372,0.57846,1.10901,0.93276,0.92223,0.96149,0.69945,0.9426,0.47993,1.03604,0.00104231,0.00104231,0.00104231
43,1626.27,0.97618,0.5644,1.09919,0.93662,0.91696,0.95801,0.6987,0.94278,0.48398,1.0362,0.00103288,0.00103288,0.00103288
44,1664.76,0.97397,0.56373,1.10161,0.94628,0.91525,0.96026,0.69499,0.97274,0.47409,1.04659,0.00102345,0.00102345,0.00102345
45,1703.26,0.96962,0.55178,1.09132,0.93824,0.92358,0.95684,0.69131,0.95426,0.47912,1.04125,0.00101402,0.00101402,0.00101402
46,1741.8,0.97573,0.56583,1.10168,0.92985,0.93191,0.95641,0.69277,0.9374,0.48423,1.03776,0.00100459,0.00100459,0.00100459
47,1780.16,0.96698,0.56378,1.09556,0.9283,0.92872,0.95192,0.69488,0.93214,0.47714,1.03751,0.000995156,0.000995156,0.000995156
48,1818.67,0.9546,0.55439,1.08812,0.93994,0.91204,0.96031,0.70855,0.92414,0.48516,1.03391,0.000985724,0.000985724,0.000985724
49,1857.37,0.95458,0.55507,1.08448,0.94279,0.9253,0.9632,0.7001,0.93529,0.46634,1.03276,0.000976293,0.000976293,0.000976293
50,1895.74,0.95185,0.54383,1.08137,0.92938,0.92697,0.96126,0.70297,0.94053,0.46715,1.03953,0.000966861,0.000966861,0.000966861
51,1934.29,0.94436,0.54549,1.08287,0.92948,0.93138,0.96362,0.70901,0.91524,0.46466,1.02744,0.00095743,0.00095743,0.00095743
52,1972.98,0.95072,0.54363,1.08992,0.93669,0.92339,0.95683,0.70213,0.93219,0.475,1.0367,0.000947999,0.000947999,0.000947999
53,2011.51,0.94045,0.53678,1.0828,0.94217,0.92361,0.95961,0.70527,0.92349,0.46855,1.03615,0.000938567,0.000938567,0.000938567
54,2050.08,0.93922,0.53556,1.08284,0.93816,0.92891,0.96093,0.70412,0.92832,0.46168,1.04092,0.000929136,0.000929136,0.000929136
55,2088.52,0.93082,0.53793,1.07791,0.93645,0.9305,0.95693,0.70724,0.91702,0.46602,1.02817,0.000919704,0.000919704,0.000919704
56,2127.03,0.93653,0.53135,1.07594,0.92712,0.9336,0.95986,0.70669,0.92243,0.46062,1.03217,0.000910273,0.000910273,0.000910273
57,2165.65,0.9278,0.53273,1.0745,0.94242,0.92772,0.95851,0.70885,0.90595,0.45004,1.02732,0.000900842,0.000900842,0.000900842
58,2204.17,0.93883,0.53441,1.07716,0.93501,0.93187,0.95571,0.70639,0.91861,0.4605,1.02822,0.00089141,0.00089141,0.00089141
59,2242.69,0.91884,0.51595,1.06966,0.94063,0.92107,0.96261,0.70898,0.91262,0.45326,1.02898,0.000881979,0.000881979,0.000881979
60,2281.2,0.92009,0.51975,1.06786,0.94143,0.9259,0.96549,0.71462,0.90921,0.4474,1.02216,0.000872547,0.000872547,0.000872547
61,2319.71,0.92453,0.51411,1.07436,0.94052,0.92976,0.96126,0.71489,0.90869,0.44969,1.02345,0.000863116,0.000863116,0.000863116
62,2358.32,0.92436,0.518,1.07401,0.94077,0.92637,0.9631,0.71442,0.9037,0.45183,1.02445,0.000853685,0.000853685,0.000853685
63,2396.73,0.90596,0.51032,1.0688,0.9516,0.91258,0.95804,0.71352,0.89063,0.45661,1.01788,0.000844253,0.000844253,0.000844253
64,2435.11,0.90789,0.51393,1.06872,0.94499,0.91976,0.95957,0.7087,0.91067,0.4581,1.02836,0.000834822,0.000834822,0.000834822
65,2473.61,0.9051,0.51421,1.07106,0.93771,0.93525,0.96127,0.71593,0.90027,0.44874,1.02132,0.00082539,0.00082539,0.00082539
66,2512.14,0.90312,0.50813,1.06794,0.94654,0.91999,0.96178,0.71543,0.90311,0.44836,1.02044,0.000815959,0.000815959,0.000815959
67,2550.55,0.90045,0.50291,1.05785,0.94571,0.92424,0.96389,0.71756,0.88634,0.448,1.01196,0.000806528,0.000806528,0.000806528
68,2589.19,0.88528,0.48978,1.05661,0.93974,0.92873,0.9652,0.72048,0.89567,0.44623,1.01951,0.000797096,0.000797096,0.000797096
69,2627.78,0.89952,0.49852,1.06145,0.94497,0.92897,0.95922,0.71549,0.9025,0.44281,1.02165,0.000787665,0.000787665,0.000787665
70,2666.22,0.88091,0.49663,1.05763,0.94204,0.92762,0.95987,0.71806,0.88849,0.44553,1.01774,0.000778233,0.000778233,0.000778233
71,2704.81,0.8876,0.49237,1.05407,0.93718,0.93102,0.96202,0.71493,0.90341,0.44774,1.01907,0.000768802,0.000768802,0.000768802
72,2743.29,0.88974,0.49339,1.06069,0.94029,0.93045,0.95866,0.71153,0.91673,0.44924,1.02493,0.000759371,0.000759371,0.000759371
73,2781.87,0.88181,0.49932,1.05402,0.94331,0.92861,0.95964,0.71351,0.89394,0.44243,1.01739,0.000749939,0.000749939,0.000749939
74,2820.38,0.87824,0.48345,1.05023,0.94431,0.92043,0.95858,0.71476,0.89627,0.44082,1.02177,0.000740508,0.000740508,0.000740508
75,2858.75,0.87909,0.48496,1.04574,0.93799,0.92728,0.96101,0.7155,0.90102,0.43883,1.01885,0.000731076,0.000731076,0.000731076
76,2897.21,0.87718,0.48115,1.05159,0.94903,0.92216,0.95989,0.72213,0.87814,0.43674,1.01054,0.000721645,0.000721645,0.000721645
77,2935.91,0.87789,0.49344,1.05167,0.94388,0.92118,0.95892,0.71592,0.89741,0.43955,1.01817,0.000712214,0.000712214,0.000712214
78,2974.39,0.87635,0.4831,1.0496,0.93732,0.92892,0.96255,0.72085,0.88039,0.4347,1.01273,0.000702782,0.000702782,0.000702782
79,3012.95,0.86514,0.47992,1.04783,0.93758,0.93084,0.95588,0.71653,0.88103,0.43961,1.01362,0.000693351,0.000693351,0.000693351
80,3051.43,0.87267,0.48214,1.052,0.93028,0.93433,0.95038,0.70937,0.88993,0.44291,1.01784,0.000683919,0.000683919,0.000683919
81,3089.79,0.86864,0.47301,1.04522,0.94584,0.92771,0.95876,0.72151,0.8774,0.43001,1.01729,0.000674488,0.000674488,0.000674488
82,3128.3,0.8537,0.46971,1.0358,0.9376,0.92838,0.95454,0.72111,0.87703,0.43212,1.01276,0.000665057,0.000665057,0.000665057
83,3166.77,0.85301,0.46885,1.04512,0.95104,0.92434,0.95554,0.71493,0.88425,0.44043,1.01513,0.000655625,0.000655625,0.000655625
