epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6988.79,1.21988,1.01787,1.28111,0.88826,0.76097,0.85058,0.56347,1.01737,2.00293,1.1088,6.139e-05,6.139e-05,6.139e-05
41,7156.37,1.21512,1.02099,1.28732,0.88882,0.76074,0.85057,0.56368,1.01702,2.01917,1.10863,6.04e-05,6.04e-05,6.04e-05
42,7323.61,1.2167,1.02013,1.28498,0.88837,0.76088,0.85071,0.56409,1.01619,2.00661,1.10824,5.941e-05,5.941e-05,5.941e-05
43,7491.23,1.21557,1.01233,1.28361,0.88843,0.76103,0.85064,0.5643,1.01574,2.00261,1.10804,5.842e-05,5.842e-05,5.842e-05
44,7658.76,1.2151,1.01349,1.28095,0.8872,0.76193,0.85073,0.56464,1.01543,1.99742,1.10798,5.743e-05,5.743e-05,5.743e-05
45,7826.37,1.22122,1.01985,1.28874,0.88747,0.76233,0.85101,0.56488,1.01494,1.97652,1.10776,5.644e-05,5.644e-05,5.644e-05
46,7993.78,1.22292,1.02045,1.28619,0.88771,0.76272,0.85121,0.56499,1.01469,1.9718,1.10757,5.545e-05,5.545e-05,5.545e-05
47,8161.42,1.21519,1.01157,1.28315,0.88794,0.7629,0.85133,0.56521,1.01439,1.97962,1.10743,5.446e-05,5.446e-05,5.446e-05
48,8329.29,1.21432,1.01035,1.28163,0.88772,0.76348,0.85148,0.5655,1.01373,1.97846,1.10707,5.347e-05,5.347e-05,5.347e-05
49,8497.19,1.21347,1.00846,1.28265,0.8878,0.7633,0.85147,0.56565,1.01332,1.97067,1.10687,5.248e-05,5.248e-05,5.248e-05
50,8665.08,1.21571,1.0171,1.28375,0.88838,0.7635,0.85169,0.56567,1.01302,1.96424,1.10662,5.149e-05,5.149e-05,5.149e-05
51,8833.52,1.21844,1.01713,1.28384,0.88873,0.76322,0.85171,0.56591,1.01271,1.96133,1.10637,5.05e-05,5.05e-05,5.05e-05
52,9001.63,1.21288,1.00917,1.27802,0.88891,0.7633,0.85175,0.566,1.01234,1.96198,1.10623,4.951e-05,4.951e-05,4.951e-05
53,9169.48,1.21644,1.01531,1.28371,0.88851,0.76352,0.85177,0.56616,1.01199,1.95662,1.10603,4.852e-05,4.852e-05,4.852e-05
54,9337.17,1.21149,1.01594,1.28172,0.88857,0.76347,0.85184,0.56643,1.0116,1.9529,1.10585,4.753e-05,4.753e-05,4.753e-05
